"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)"
"1","2006","14","Chhattisgarh","Durg","781.7","1177.1","1505.81","36.81","26.62","723.16","5.28","5.03","953.14","0.0","0.0","0.0"
"1","2007","14","Chhattisgarh","Durg","799.89","1095.84","1369.98","37.32","34.38","921.03","3.3","3.82","1157.23","0.06","0.07","1166.67"
"1","2008","14","Chhattisgarh","Durg","803.37","704.09","876.42","36.46","31.19","855.47","3.4","3.35","984.92","0.06","0.06","1000.0"
"1","2009","14","Chhattisgarh","Durg","789.04","622.05","788.37","42.44","38.12","898.09","3.25","3.4","1045.97","0.06","0.01","166.67"
"1","2010","14","Chhattisgarh","Durg","777.92","1319.18","1695.77","46.12","45.87","994.69","3.17","4.63","1457.32","0.09","0.07","777.78"
"1","2011","14","Chhattisgarh","Durg","806.55","1416.48","1756.23","44.98","50.19","1115.68","3.63","4.67","1285.56","0.15","0.17","1133.33"
"1","2012","14","Chhattisgarh","Durg","807.07","1534.22","1900.97","43.87","47.69","1087.1","3.12","4.8","1538.56","0.19","0.11","578.95"
"1","2013","14","Chhattisgarh","Durg","819.44","1296.24","1581.86","41.54","43.33","1043.06","3.64","6.34","1742.2","0.22","0.12","545.45"
"1","2014","14","Chhattisgarh","Durg","834.87","1444.24","1729.89","44.25","50.96","1151.49","4.02","5.84","1451.66","0.14","0.11","785.71"
"1","2015","14","Chhattisgarh","Durg","817.68","880.6","1076.95","48.72","54.6","1120.74","9.87","14.47","1467.17","0.04","0.03","750.0"
"1","2016","14","Chhattisgarh","Durg","858.91","1791.66","2085.96","48.94","61.84","1263.55","7.95","16.12","2028.48","0.01","0.01","1333.33"
"1","2017","14","Chhattisgarh","Durg","841.13","983.21","1168.92","43.5","50.19","1153.77","9.25","18.09","1956.03","0.0","0.0","1000.0"
"2","2006","14","Chhattisgarh","Bastar","546.54","836.54","1530.61","1.92","3.2","1666.67","31.15","41.19","1322.31","0.0","0.0","0.0"
"2","2007","14","Chhattisgarh","Bastar","626.07","927.73","1481.83","1.68","3.31","1970.24","32.66","59.39","1818.43","0.0","0.0","0.0"
"2","2008","14","Chhattisgarh","Bastar","627.78","729.33","1161.76","1.71","2.6","1520.47","33.41","53.87","1612.39","0.0","0.0","0.0"
"2","2009","14","Chhattisgarh","Bastar","626.66","682.46","1089.04","1.64","2.95","1798.78","34.77","61.36","1764.74","0.0","0.0","0.0"
"2","2010","14","Chhattisgarh","Bastar","621.89","1184.98","1905.45","1.6","3.2","2000.0","35.7","72.3","2025.21","0.0","0.0","0.0"
"2","2011","14","Chhattisgarh","Bastar","627.73","772.88","1231.23","1.33","2.49","1872.18","40.16","82.85","2063.0","0.0","0.0","0.0"
"2","2012","14","Chhattisgarh","Bastar","637.8","1341.33","2103.06","1.25","2.47","1976.0","41.04","84.27","2053.36","0.0","0.0","0.0"
"2","2013","14","Chhattisgarh","Bastar","642.79","1265.91","1969.4","0.97","1.75","1804.12","42.38","99.48","2347.33","0.0","0.0","0.0"
"2","2014","14","Chhattisgarh","Bastar","646.7","1377.04","2129.33","0.81","1.86","2296.3","43.1","86.93","2016.94","0.0","0.0","0.0"
"2","2015","14","Chhattisgarh","Bastar","644.56","664.46","1030.87","0.84","1.75","2083.33","41.36","88.98","2151.35","0.0","0.0","0.0"
"2","2016","14","Chhattisgarh","Bastar","656.26","1294.97","1973.24","0.67","1.53","2265.58","41.5","123.66","2979.5","0.0","0.0","0.0"
"2","2017","14","Chhattisgarh","Bastar","660.36","801.82","1214.23","1.24","2.22","1783.13","41.94","120.22","2866.36","0.0","0.0","0.0"
"3","2006","14","Chhattisgarh","Raipur","918.39","1324.71","1442.43","13.09","12.16","928.95","2.61","2.35","900.38","0.0","0.0","0.0"
"3","2007","14","Chhattisgarh","Raipur","956.63","1483.28","1550.53","11.42","13.08","1145.36","2.53","2.89","1142.29","0.0","0.0","0.0"
"3","2008","14","Chhattisgarh","Raipur","942.24","1252.38","1329.15","10.82","11.04","1020.33","1.29","1.39","1077.52","0.0","0.0","0.0"
"3","2009","14","Chhattisgarh","Raipur","928.66","1307.24","1407.66","12.67","18.01","1421.47","1.34","2.13","1589.55","0.0","0.0","0.0"
"3","2010","14","Chhattisgarh","Raipur","915.4","1521.13","1661.71","11.3","15.2","1345.13","1.3","1.8","1384.62","0.0","0.0","0.0"
"3","2011","14","Chhattisgarh","Raipur","958.01","1421.37","1483.67","10.54","17.89","1697.34","2.12","3.6","1698.11","0.0","0.0","0.0"
"3","2012","14","Chhattisgarh","Raipur","993.68","1974.69","1987.25","9.76","17.75","1818.65","10.21","17.05","1669.93","0.0","0.0","0.0"
"3","2013","14","Chhattisgarh","Raipur","1009.22","1749.21","1733.23","9.21","15.86","1722.04","13.01","22.77","1750.19","0.0","0.0","0.0"
"3","2014","14","Chhattisgarh","Raipur","1034.99","2127.73","2055.8","10.38","21.24","2046.24","14.75","29.67","2011.53","0.0","0.0","0.0"
"3","2015","14","Chhattisgarh","Raipur","986.91","1412.83","1431.57","10.99","19.3","1756.14","11.14","20.1","1804.31","0.0","0.0","0.0"
"3","2016","14","Chhattisgarh","Raipur","1009.29","2432.48","2410.09","8.8","17.95","2038.28","7.1","18.15","2557.48","0.0","0.0","0.0"
"3","2017","14","Chhattisgarh","Raipur","959.01","1520.95","1585.96","14.56","23.66","1625.61","6.13","13.67","2228.27","0.0","0.0","0.0"
"4","2006","14","Chhattisgarh","Bilaspur","712.81","1127.18","1581.33","17.57","15.69","893.02","10.12","10.78","1064.98","0.24","0.2","833.33"
"4","2007","14","Chhattisgarh","Bilaspur","716.37","1160.03","1619.32","17.38","19.05","1096.53","9.71","13.41","1381.2","0.23","0.23","1000.0"
"4","2008","14","Chhattisgarh","Bilaspur","749.56","1070.95","1428.76","17.54","18.05","1029.04","9.7","11.18","1152.73","0.17","0.15","882.35"
"4","2009","14","Chhattisgarh","Bilaspur","696.49","994.29","1427.57","24.25","28.14","1160.63","11.67","17.12","1467.12","0.23","0.18","782.61"
"4","2010","14","Chhattisgarh","Bilaspur","705.67","1333.61","1889.83","24.88","30.13","1210.79","11.63","18.67","1606.28","0.23","0.12","521.74"
"4","2011","14","Chhattisgarh","Bilaspur","749.08","1557.35","2079.01","19.08","26.28","1377.75","9.3","12.72","1368.1","0.24","0.17","708.33"
"4","2012","14","Chhattisgarh","Bilaspur","747.27","1746.82","2337.61","18.7","27.31","1460.32","8.8","15.8","1795.44","0.23","0.11","478.26"
"4","2013","14","Chhattisgarh","Bilaspur","726.15","1577.16","2171.95","19.88","26.97","1356.73","8.94","15.51","1734.72","0.23","0.2","869.57"
"4","2014","14","Chhattisgarh","Bilaspur","728.84","1683.92","2310.43","18.11","28.15","1554.83","9.03","15.57","1724.75","0.23","0.29","1260.87"
"4","2015","14","Chhattisgarh","Bilaspur","731.83","1340.65","1831.92","17.82","27.03","1516.74","8.62","12.22","1416.38","0.21","0.11","523.81"
"4","2016","14","Chhattisgarh","Bilaspur","727.5","1858.19","2554.21","16.2","25.1","1549.23","8.1","17.11","2111.81","0.16","0.15","920.25"
"4","2017","14","Chhattisgarh","Bilaspur","727.94","1295.71","1779.97","15.8","21.72","1374.7","7.61","15.83","2080.79","0.18","0.18","983.33"
"5","2006","14","Chhattisgarh","Raigarh","421.04","437.91","1040.07","3.31","3.74","1129.91","7.12","9.0","1264.04","0.02","0.02","1000.0"
"5","2007","14","Chhattisgarh","Raigarh","423.06","532.65","1259.04","3.17","4.65","1466.88","7.08","11.63","1642.66","0.02","0.02","1000.0"
"5","2008","14","Chhattisgarh","Raigarh","423.29","500.83","1183.18","3.51","4.86","1384.62","7.05","10.15","1439.72","0.02","0.02","1000.0"
"5","2009","14","Chhattisgarh","Raigarh","420.75","470.53","1118.31","3.72","4.87","1309.14","6.78","11.23","1656.34","0.02","0.02","1000.0"
"5","2010","14","Chhattisgarh","Raigarh","435.05","598.26","1375.15","3.4","5.5","1617.65","7.0","11.9","1700.0","0.02","0.01","500.0"
"5","2011","14","Chhattisgarh","Raigarh","421.32","602.66","1430.41","3.63","6.27","1727.27","6.84","10.67","1559.94","0.02","0.02","1000.0"
"5","2012","14","Chhattisgarh","Raigarh","422.65","641.28","1517.28","3.44","6.08","1767.44","6.33","11.84","1870.46","0.01","0.01","1000.0"
"5","2013","14","Chhattisgarh","Raigarh","418.44","580.76","1387.92","6.67","11.5","1724.14","6.55","14.33","2187.79","0.02","0.02","1000.0"
"5","2014","14","Chhattisgarh","Raigarh","408.9","657.79","1608.68","3.62","7.5","2071.82","6.55","12.46","1902.29","0.02","0.02","1000.0"
"5","2015","14","Chhattisgarh","Raigarh","409.45","414.89","1013.29","3.56","6.15","1727.53","6.5","10.94","1683.08","0.01","0.01","1000.0"
"5","2016","14","Chhattisgarh","Raigarh","424.24","763.72","1800.23","3.87","7.12","1840.7","6.46","15.43","2389.53","0.0","0.0","0.0"
"5","2017","14","Chhattisgarh","Raigarh","411.12","623.29","1516.07","3.91","6.76","1728.83","6.29","15.81","2512.8","0.0","0.0","0.0"
"6","2006","14","Chhattisgarh","Surguja","383.16","403.92","1054.18","24.39","23.79","975.4","45.32","41.23","909.75","3.34","2.76","826.35"
"6","2007","14","Chhattisgarh","Surguja","380.88","435.45","1143.27","24.07","30.09","1250.1","45.31","66.01","1456.85","3.12","3.65","1169.87"
"6","2008","14","Chhattisgarh","Surguja","382.59","449.93","1176.01","24.81","29.68","1196.29","44.55","59.93","1345.23","2.93","2.63","897.61"
"6","2009","14","Chhattisgarh","Surguja","376.0","270.74","720.05","24.47","26.84","1096.85","43.91","50.14","1141.88","2.71","2.1","774.91"
"6","2010","14","Chhattisgarh","Surguja","371.28","399.46","1075.9","23.98","27.45","1144.7","43.9","76.3","1738.04","1.91","1.0","523.56"
"6","2011","14","Chhattisgarh","Surguja","377.14","530.08","1405.53","25.29","32.02","1266.11","45.39","63.31","1394.8","2.45","1.83","746.94"
"6","2012","14","Chhattisgarh","Surguja","373.71","610.07","1632.47","25.21","41.92","1662.83","47.34","91.37","1930.08","2.37","1.11","468.35"
"6","2013","14","Chhattisgarh","Surguja","371.71","633.47","1704.2","26.77","41.33","1543.89","49.07","96.07","1957.82","2.24","2.11","941.96"
"6","2014","14","Chhattisgarh","Surguja","381.43","687.04","1801.22","26.02","43.61","1676.02","47.61","84.57","1776.31","2.13","2.28","1070.42"
"6","2015","14","Chhattisgarh","Surguja","369.32","440.9","1193.82","23.87","33.51","1403.85","48.89","91.01","1861.53","0.8","0.52","650.0"
"6","2016","14","Chhattisgarh","Surguja","376.38","652.25","1732.96","23.63","37.56","1589.23","49.44","118.85","2403.99","1.9","1.72","907.7"
"6","2017","14","Chhattisgarh","Surguja","377.07","524.07","1389.84","23.18","37.09","1599.85","48.4","123.33","2548.25","1.7","1.78","1048.26"
"7","2006","6","Madhya Pradesh","Jabalpur","173.4","103.71","598.1","144.1","226.35","1570.78","8.18","5.84","713.94","0.43","0.49","1139.53"
"7","2007","6","Madhya Pradesh","Jabalpur","153.8","53.52","347.98","130.4","166.2","1274.54","7.8","7.4","948.72","0.3","0.3","1000.0"
"7","2008","6","Madhya Pradesh","Jabalpur","173.3","103.69","598.33","157.7","245.8","1558.66","8.4","10.2","1214.29","0.4","0.6","1500.0"
"7","2009","6","Madhya Pradesh","Jabalpur","135.2","78.8","582.84","162.0","229.4","1416.05","7.7","7.1","922.08","0.4","0.5","1250.0"
"7","2010","6","Madhya Pradesh","Jabalpur","151.1","155.0","1025.81","162.7","339.5","2086.66","7.5","8.8","1173.33","0.4","0.4","1000.0"
"7","2011","6","Madhya Pradesh","Jabalpur","157.6","204.5","1297.59","166.0","381.6","2298.8","8.0","7.9","987.5","0.4","0.6","1500.0"
"7","2012","6","Madhya Pradesh","Jabalpur","182.13","292.91","1608.25","201.13","559.1","2779.79","8.07","15.13","1874.85","0.5","0.85","1700.0"
"7","2013","6","Madhya Pradesh","Jabalpur","188.69","364.36","1931.0","218.66","546.79","2500.64","7.67","13.57","1769.23","0.39","0.99","2538.46"
"7","2014","6","Madhya Pradesh","Jabalpur","179.0","228.0","1273.74","227.0","598.0","2634.36","19.0","57.0","3000.0","1.0","2.0","2000.0"
"7","2015","6","Madhya Pradesh","Jabalpur","169.0","189.33","1120.3","202.0","623.0","3084.16","10.0","17.0","1700.0","0.0","0.0","0.0"
"7","2016","6","Madhya Pradesh","Jabalpur","225.0","652.66","2900.71","237.0","827.0","3489.45","11.0","25.0","2272.73","0.85","3.0","3529.41"
"7","2017","6","Madhya Pradesh","Jabalpur","210.2","526.17","2503.19","300.7","1037.13","3449.05","13.9","35.38","2545.32","0.3","0.48","1600.0"
"8","2006","6","Madhya Pradesh","Balaghat","248.65","299.34","1203.86","15.05","11.43","759.47","4.36","4.51","1034.4","0.0","0.0","0.0"
"8","2007","6","Madhya Pradesh","Balaghat","249.8","233.77","935.83","14.7","13.2","897.96","4.4","5.7","1295.45","0.0","0.0","0.0"
"8","2008","6","Madhya Pradesh","Balaghat","249.8","181.57","726.86","15.1","12.3","814.57","5.6","7.5","1339.29","0.0","0.0","0.0"
"8","2009","6","Madhya Pradesh","Balaghat","247.8","338.2","1364.81","14.7","19.5","1326.53","4.2","5.0","1190.48","0.0","0.0","0.0"
"8","2010","6","Madhya Pradesh","Balaghat","247.9","353.0","1423.96","15.1","22.9","1516.56","4.3","6.6","1534.88","0.0","0.0","0.0"
"8","2011","6","Madhya Pradesh","Balaghat","246.7","336.2","1362.79","22.7","29.8","1312.78","4.3","5.6","1302.33","0.0","0.0","0.0"
"8","2012","6","Madhya Pradesh","Balaghat","260.77","486.46","1865.48","18.32","23.72","1294.76","4.23","9.95","2352.25","0.0","0.0","0.0"
"8","2013","6","Madhya Pradesh","Balaghat","258.65","434.08","1678.25","17.52","22.85","1304.22","4.29","7.38","1720.28","0.0","0.0","0.0"
"8","2014","6","Madhya Pradesh","Balaghat","245.0","449.33","1834.0","38.0","56.0","1473.68","8.0","21.0","2625.0","2.0","3.0","1500.0"
"8","2015","6","Madhya Pradesh","Balaghat","266.0","445.33","1674.17","20.0","27.0","1350.0","9.0","18.0","2000.0","0.0","0.0","0.0"
"8","2016","6","Madhya Pradesh","Balaghat","272.0","675.33","2482.83","35.0","64.0","1828.57","9.0","27.0","3000.0","0.0","0.0","0.0"
"8","2017","6","Madhya Pradesh","Balaghat","220.21","395.48","1795.92","55.56","138.12","2485.96","10.04","29.37","2925.3","0.3","0.48","1600.0"
"9","2006","6","Madhya Pradesh","Chhindwara","20.56","16.67","810.8","105.95","198.97","1877.96","85.13","158.2","1858.33","0.0","0.0","0.0"
"9","2007","6","Madhya Pradesh","Chhindwara","20.5","12.01","585.85","110.7","223.4","2018.07","92.1","216.7","2352.88","0.0","0.0","0.0"
"9","2008","6","Madhya Pradesh","Chhindwara","19.3","9.57","495.85","82.8","175.2","2115.94","92.8","203.5","2192.89","0.0","0.0","0.0"
"9","2009","6","Madhya Pradesh","Chhindwara","18.8","14.2","755.32","111.1","425.2","3827.18","88.9","233.1","2622.05","0.0","0.0","0.0"
"9","2010","6","Madhya Pradesh","Chhindwara","18.3","30.2","1650.27","114.5","388.9","3396.51","94.4","279.1","2956.57","0.0","0.0","0.0"
"9","2011","6","Madhya Pradesh","Chhindwara","20.2","43.0","2128.71","122.1","278.84","2283.7","98.6","423.9","4299.19","0.0","0.0","0.0"
"9","2012","6","Madhya Pradesh","Chhindwara","13.94","38.37","2752.51","138.57","438.74","3166.2","134.98","483.9","3584.98","0.0","0.0","0.0"
"9","2013","6","Madhya Pradesh","Chhindwara","13.81","28.05","2031.14","146.14","332.52","2275.35","154.25","173.17","1122.66","0.0","0.0","0.0"
"9","2014","6","Madhya Pradesh","Chhindwara","20.0","48.0","2400.0","155.0","455.0","2935.48","65.0","220.0","3384.62","0.0","0.0","0.0"
"9","2015","6","Madhya Pradesh","Chhindwara","31.0","54.0","1741.94","165.0","636.0","3854.55","195.0","980.0","5025.64","0.0","0.0","0.0"
"9","2016","6","Madhya Pradesh","Chhindwara","35.0","53.33","1523.71","179.0","578.0","3229.05","213.0","1071.0","5028.17","0.0","0.0","0.0"
"9","2017","6","Madhya Pradesh","Chhindwara","34.01","42.06","1236.7","181.0","619.2","3420.99","263.5","1326.45","5033.97","0.0","0.0","0.0"
"10","2006","6","Madhya Pradesh","Narsinghpur","13.61","14.58","1071.27","53.07","151.93","2862.82","0.61","0.77","1262.3","0.0","0.0","0.0"
"10","2007","6","Madhya Pradesh","Narsinghpur","12.9","8.38","649.61","55.0","157.5","2863.64","0.6","0.9","1500.0","0.0","0.0","0.0"
"10","2008","6","Madhya Pradesh","Narsinghpur","13.1","8.05","614.5","62.3","189.7","3044.94","0.5","0.9","1800.0","0.0","0.0","0.0"
"10","2009","6","Madhya Pradesh","Narsinghpur","13.4","14.9","1111.94","65.1","169.4","2602.15","0.6","0.8","1333.33","0.0","0.0","0.0"
"10","2010","6","Madhya Pradesh","Narsinghpur","12.5","19.5","1560.0","68.8","226.9","3297.96","0.6","0.9","1500.0","0.0","0.0","0.0"
"10","2011","6","Madhya Pradesh","Narsinghpur","12.0","21.5","1791.67","63.6","253.2","3981.13","0.6","0.9","1500.0","0.0","0.0","0.0"
"10","2012","6","Madhya Pradesh","Narsinghpur","12.91","17.21","1333.08","82.0","240.82","2936.83","0.89","2.5","2808.99","0.0","0.0","0.0"
"10","2013","6","Madhya Pradesh","Narsinghpur","18.36","24.99","1361.11","93.17","198.02","2125.36","1.02","1.49","1460.78","0.0","0.01","0.0"
"10","2014","6","Madhya Pradesh","Narsinghpur","18.0","25.33","1407.22","94.0","305.0","3244.68","9.0","17.0","1888.89","0.0","0.0","0.0"
"10","2015","6","Madhya Pradesh","Narsinghpur","34.0","89.33","2627.35","95.0","388.0","4084.21","3.0","10.0","3333.33","0.0","0.0","0.0"
"10","2016","6","Madhya Pradesh","Narsinghpur","55.0","154.66","2812.0","100.0","404.0","4040.0","4.0","7.0","1750.0","0.0","0.0","0.0"
"10","2017","6","Madhya Pradesh","Narsinghpur","39.1","181.3","4636.83","92.0","320.71","3485.98","5.0","8.84","1768.0","0.0","0.0","0.0"
"11","2006","6","Madhya Pradesh","Seoni / Shivani","119.39","135.81","1137.53","104.72","101.31","967.44","12.5","12.82","1025.6","0.0","0.0","0.0"
"11","2007","6","Madhya Pradesh","Seoni / Shivani","119.0","97.61","820.25","110.5","93.4","845.25","11.9","14.3","1201.68","0.0","0.0","0.0"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","115.6","77.42","669.72","103.1","90.1","873.91","11.8","13.5","1144.07","0.0","0.0","0.0"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","116.8","122.4","1047.95","108.8","90.5","831.8","11.6","12.7","1094.83","0.0","0.0","0.0"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","116.3","153.9","1323.3","111.7","102.1","914.06","11.9","15.1","1268.91","0.0","0.0","0.0"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","121.2","176.4","1455.45","115.6","127.5","1102.94","14.1","15.1","1070.92","0.0","0.0","0.0"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","136.55","281.01","2057.93","132.11","374.26","2832.94","18.39","46.98","2554.65","0.0","0.0","0.0"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","150.24","440.99","2935.24","153.28","346.04","2257.57","22.05","40.52","1837.64","0.0","0.0","0.0"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","139.0","199.33","1434.03","99.0","286.0","2888.89","20.0","72.0","3600.0","0.0","0.0","0.0"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","169.0","238.67","1412.25","115.0","277.0","2408.7","72.0","25.0","347.22","0.0","0.0","0.0"
"11","2016","6","Madhya Pradesh","Seoni / Shivani","182.0","450.0","2472.53","151.0","445.0","2947.02","116.0","536.0","4620.69","0.0","0.0","0.0"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","133.13","319.98","2403.52","200.72","523.88","2610.0","99.7","462.56","4639.52","0.0","0.0","0.0"
"12","2006","6","Madhya Pradesh","Mandla","192.71","129.68","672.93","63.47","44.02","693.56","36.36","27.43","754.4","0.02","0.02","1000.0"
"12","2007","6","Madhya Pradesh","Mandla","193.3","93.26","482.46","58.8","40.2","683.67","36.2","36.8","1016.57","0.0","0.0","0.0"
"12","2008","6","Madhya Pradesh","Mandla","194.1","90.35","465.48","60.0","46.0","766.67","43.5","44.4","1020.69","0.0","0.0","0.0"
"12","2009","6","Madhya Pradesh","Mandla","180.1","106.2","589.67","61.5","42.1","684.55","36.1","34.4","952.91","0.0","0.0","0.0"
"12","2010","6","Madhya Pradesh","Mandla","191.1","157.5","824.18","45.2","32.7","723.45","35.8","44.2","1234.64","0.0","0.0","0.0"
"12","2011","6","Madhya Pradesh","Mandla","198.7","201.8","1015.6","68.0","51.3","754.41","42.1","32.1","762.47","0.0","0.0","0.0"
"12","2012","6","Madhya Pradesh","Mandla","210.44","212.69","1010.69","71.01","115.32","1624.0","36.03","64.53","1791.01","0.02","0.01","500.0"
"12","2013","6","Madhya Pradesh","Mandla","212.68","242.15","1138.56","74.83","127.02","1697.45","36.84","65.94","1789.9","0.02","0.04","2000.0"
"12","2014","6","Madhya Pradesh","Mandla","209.0","274.0","1311.0","143.0","198.0","1384.62","43.0","90.0","2093.02","1.0","2.0","2000.0"
"12","2015","6","Madhya Pradesh","Mandla","215.0","365.33","1699.21","90.0","173.0","1922.22","47.0","104.0","2212.77","0.0","0.0","0.0"
"12","2016","6","Madhya Pradesh","Mandla","227.0","440.66","1941.23","98.0","270.0","2755.1","48.0","112.0","2333.33","0.17","0.49","2882.35"
"12","2017","6","Madhya Pradesh","Mandla","215.1","689.45","3205.25","90.0","228.0","2533.33","47.5","113.89","2397.68","0.0","0.0","0.0"
"13","2006","6","Madhya Pradesh","Sagar","8.37","4.3","513.74","163.7","172.58","1054.25","3.81","3.3","866.14","0.89","1.25","1404.49"
"13","2007","6","Madhya Pradesh","Sagar","6.6","2.38","360.61","139.6","131.8","944.13","3.5","3.8","1085.71","0.8","1.0","1250.0"
"13","2008","6","Madhya Pradesh","Sagar","6.4","2.24","350.0","150.1","188.2","1253.83","6.5","7.3","1123.08","0.7","1.0","1428.57"
"13","2009","6","Madhya Pradesh","Sagar","6.0","3.7","616.67","173.0","244.5","1413.29","3.4","4.3","1264.71","0.9","1.4","1555.56"
"13","2010","6","Madhya Pradesh","Sagar","6.0","4.5","750.0","172.5","186.5","1081.16","3.4","4.2","1235.29","0.9","1.4","1555.56"
"13","2011","6","Madhya Pradesh","Sagar","3.4","2.7","794.12","199.8","295.1","1476.98","3.4","4.5","1323.53","0.3","0.6","2000.0"
"13","2012","6","Madhya Pradesh","Sagar","5.26","3.33","633.08","213.45","449.7","2106.82","2.97","6.11","2057.24","1.24","1.69","1362.9"
"13","2013","6","Madhya Pradesh","Sagar","4.78","2.09","437.24","228.79","425.35","1859.13","2.78","1.63","586.33","0.71","0.99","1394.37"
"13","2014","6","Madhya Pradesh","Sagar","5.0","5.33","1066.0","185.0","394.0","2129.73","8.0","14.0","1750.0","1.0","2.0","2000.0"
"13","2015","6","Madhya Pradesh","Sagar","7.0","2.0","285.71","158.0","346.0","2189.87","5.0","5.0","1000.0","1.0","2.0","2000.0"
"13","2016","6","Madhya Pradesh","Sagar","6.0","6.0","1000.0","202.0","557.0","2757.43","5.0","6.0","1200.0","3.0","7.0","2333.33"
"13","2017","6","Madhya Pradesh","Sagar","5.06","5.69","1124.51","278.0","893.21","3212.99","3.6","3.78","1050.0","1.0","1.0","1000.0"
"14","2006","6","Madhya Pradesh","Damoh","53.26","28.78","540.37","69.62","88.41","1269.89","2.02","2.23","1103.96","0.07","0.08","1142.86"
"14","2007","6","Madhya Pradesh","Damoh","53.9","20.53","380.89","63.1","99.8","1581.62","1.9","2.4","1263.16","0.1","0.1","1000.0"
"14","2008","6","Madhya Pradesh","Damoh","56.3","28.64","508.7","67.0","131.8","1967.16","2.2","4.1","1863.64","0.1","0.2","2000.0"
"14","2009","6","Madhya Pradesh","Damoh","55.6","37.5","674.46","72.1","136.3","1890.43","2.1","3.6","1714.29","0.2","0.2","1000.0"
"14","2010","6","Madhya Pradesh","Damoh","50.2","51.9","1033.86","71.8","171.4","2387.19","1.8","3.5","1944.44","0.0","0.1","0.0"
"14","2011","6","Madhya Pradesh","Damoh","55.8","59.5","1066.31","79.9","197.0","2465.58","2.0","3.6","1800.0","0.1","0.1","1000.0"
"14","2012","6","Madhya Pradesh","Damoh","56.3","55.93","993.43","82.43","167.97","2037.73","1.79","4.68","2614.53","0.03","0.05","1666.67"
"14","2013","6","Madhya Pradesh","Damoh","55.63","62.31","1120.08","88.62","164.34","1854.43","1.68","2.44","1452.38","0.14","0.34","2428.57"
"14","2014","6","Madhya Pradesh","Damoh","66.0","70.67","1070.76","93.0","201.0","2161.29","9.0","19.0","2111.11","0.0","0.0","0.0"
"14","2015","6","Madhya Pradesh","Damoh","73.0","82.67","1132.47","80.0","161.0","2012.5","5.0","11.0","2200.0","0.0","0.0","0.0"
"14","2016","6","Madhya Pradesh","Damoh","80.0","150.0","1875.0","95.0","333.0","3505.26","5.0","9.0","1800.0","0.1","0.29","2900.0"
"14","2017","6","Madhya Pradesh","Damoh","75.73","126.22","1666.71","81.6","285.6","3500.0","5.08","9.74","1917.32","0.1","0.1","1000.0"
"15","2006","6","Madhya Pradesh","Tikamgarh","14.49","5.72","394.75","58.13","78.24","1345.95","2.39","1.15","481.17","7.68","11.88","1546.88"
"15","2007","6","Madhya Pradesh","Tikamgarh","11.7","1.32","112.82","22.7","28.0","1233.48","3.1","2.1","677.42","2.9","4.3","1482.76"
"15","2008","6","Madhya Pradesh","Tikamgarh","12.9","4.82","373.64","107.4","209.2","1947.86","1.9","1.7","894.74","12.7","25.3","1992.13"
"15","2009","6","Madhya Pradesh","Tikamgarh","12.7","5.2","409.45","101.0","168.3","1666.34","2.9","1.8","620.69","11.3","19.6","1734.51"
"15","2010","6","Madhya Pradesh","Tikamgarh","12.0","5.4","450.0","78.0","99.0","1269.23","2.9","2.1","724.14","12.0","18.3","1525.0"
"15","2011","6","Madhya Pradesh","Tikamgarh","11.7","8.5","726.5","113.2","241.5","2133.39","4.4","2.6","590.91","10.0","26.7","2670.0"
"15","2012","6","Madhya Pradesh","Tikamgarh","11.77","5.6","475.79","146.73","376.24","2564.17","2.2","1.82","827.27","11.36","19.54","1720.07"
"15","2013","6","Madhya Pradesh","Tikamgarh","11.41","4.01","351.45","158.64","321.52","2026.73","1.71","0.87","508.77","11.98","15.08","1258.76"
"15","2014","6","Madhya Pradesh","Tikamgarh","13.0","5.33","410.0","117.0","288.0","2461.54","10.0","14.0","1400.0","3.0","5.0","1666.67"
"15","2015","6","Madhya Pradesh","Tikamgarh","6.0","0.67","111.67","94.0","180.0","1914.89","1.0","2.0","2000.0","5.0","12.0","2400.0"
"15","2016","6","Madhya Pradesh","Tikamgarh","6.0","6.0","1000.0","150.0","421.0","2806.67","1.0","2.0","2000.0","7.0","21.0","3000.0"
"15","2017","6","Madhya Pradesh","Tikamgarh","4.56","1.64","359.65","97.19","243.07","2500.98","1.7","1.79","1052.94","7.4","23.55","3182.43"
"16","2006","6","Madhya Pradesh","Chhatarpur","11.87","5.02","422.91","101.76","119.21","1171.48","0.61","0.31","508.2","8.21","7.58","923.26"
